0,Turkey Club Sandwich,"""[\""3 slices of bread, toasted\"", \""4 slices of cooked turkey\"", \""2 slices of cooked bacon\"", \""1 slice of cheddar cheese\"", \""2 lettuce leaves\"", \""2 slices of tomato\"", \""2 Tbsp. mayonnaise\""]""","""[\""Spread mayonnaise on one side of each slice of toast.\"", \""On the first slice, layer lettuce, turkey, and tomato.\"", \""Place the second slice of toast on top. Layer bacon and cheese on it.\"", \""Top with the final slice of toast. Secure with toothpicks and cut diagonally.\""]""",www.example-lunch.com/recipe/0,Generated,"""[\""bread\"", \""turkey\"", \""bacon\"", \""cheddar cheese\"", \""lettuce\"", \""tomato\"", \""mayonnaise\""]"""
1,Classic BLT Sandwich,"""[\""2 slices of bread, toasted\"", \""4 slices of cooked bacon\"", \""3 lettuce leaves\"", \""3 slices of tomato\"", \""2 Tbsp. mayonnaise\""]""","""[\""Spread mayonnaise on both slices of toast.\"", \""Layer the bacon, lettuce, and tomato on one slice of bread.\"", \""Top with the other slice of bread and slice in half.\""]""",www.example-lunch.com/recipe/1,Generated,"""[\""bread\"", \""bacon\"", \""lettuce\"", \""tomato\"", \""mayonnaise\""]"""
2,Grilled Cheese Sandwich,"""[\""2 slices of bread\"", \""2 slices of American cheese\"", \""1 Tbsp. butter\""]""","""[\""Butter one side of each slice of bread.\"", \""Place one slice of bread, butter-side down, in a nonstick skillet over medium heat.\"", \""Top with cheese, then the second slice of bread, butter-side up.\"", \""Grill for 2-3 minutes per side, until the bread is golden brown and the cheese is melted.\""]""",www.example-lunch.com/recipe/2,Generated,"""[\""bread\"", \""American cheese\"", \""butter\""]"""
3,Chicken Salad Sandwich,"""[\""2 slices of bread or 1 croissant\"", \""1 c. cooked, shredded chicken\"", \""1/4 c. mayonnaise\"", \""2 Tbsp. diced celery\"", \""1 tsp. lemon juice\"", \""salt and pepper to taste\""]""","""[\""In a bowl, mix together the shredded chicken, mayonnaise, celery, and lemon juice.\"", \""Season with salt and pepper.\"", \""Serve the chicken salad on bread or a croissant with lettuce if desired.\""]""",www.example-lunch.com/recipe/3,Generated,"""[\""bread\"", \""croissant\"", \""chicken\"", \""mayonnaise\"", \""celery\"", \""lemon juice\"", \""salt\"", \""pepper\""]"""
4,Tuna Melt Sandwich,"""[\""2 slices of bread\"", \""1 can (5 oz.) tuna, drained\"", \""1/4 c. mayonnaise\"", \""1 slice of provolone cheese\"", \""1 Tbsp. butter\""]""","""[\""In a bowl, mix tuna and mayonnaise.\"", \""Butter one side of each slice of bread.\"", \""Place one slice of bread, butter-side down, in a skillet. Top with tuna salad and then the cheese slice.\"", \""Top with the second slice of bread, butter-side up. Cook for 2-3 minutes per side until golden and the cheese is melted.\""]""",www.example-lunch.com/recipe/4,Generated,"""[\""bread\"", \""tuna\"", \""mayonnaise\"", \""provolone cheese\"", \""butter\""]"""
5,Simple Veggie Wrap,"""[\""1 large flour tortilla\"", \""1/4 c. hummus\"", \""1/2 c. fresh spinach\"", \""1/4 c. shredded carrots\"", \""1/4 c. sliced cucumber\"", \""1/4 sliced bell pepper\""]""","""[\""Lay the tortilla flat and spread a layer of hummus over it, leaving a small border.\"", \""Layer the spinach, carrots, cucumber, and bell pepper on top of the hummus.\"", \""Tightly roll the tortilla, tucking in the sides as you go.\""]""",www.example-lunch.com/recipe/5,Generated,"""[\""flour tortilla\"", \""hummus\"", \""spinach\"", \""carrots\"", \""cucumber\"", \""bell pepper\""]"""
6,Caesar Salad with Chicken,"""[\""1 heart of romaine lettuce, chopped\"", \""1 c. cooked, grilled chicken breast, sliced\"", \""1/4 c. Caesar dressing\"", \""2 Tbsp. grated Parmesan cheese\"", \""1/4 c. croutons\""]""","""[\""In a large bowl, combine the chopped romaine and sliced chicken.\"", \""Drizzle with Caesar dressing and toss to coat.\"", \""Top with Parmesan cheese and croutons just before serving.\""]""",www.example-lunch.com/recipe/6,Generated,"""[\""romaine lettuce\"", \""chicken\"", \""Caesar dressing\"", \""Parmesan cheese\"", \""croutons\""]"""
7,Greek Salad,"""[\""1 head of romaine lettuce, chopped\"", \""1/2 cucumber, sliced\"", \""1/2 red onion, thinly sliced\"", \""1/2 c. Kalamata olives\"", \""1/2 c. crumbled feta cheese\"", \""1/4 c. Greek vinaigrette\""]""","""[\""In a large bowl, combine lettuce, cucumber, red onion, and olives.\"", \""Drizzle with vinaigrette and toss.\"", \""Sprinkle feta cheese on top before serving.\""]""",www.example-lunch.com/recipe/7,Generated,"""[\""romaine lettuce\"", \""cucumber\"", \""red onion\"", \""Kalamata olives\"", \""feta cheese\"", \""Greek vinaigrette\""]"""
8,Caprese Salad,"""[\""1 large ripe tomato, sliced\"", \""4 oz. fresh mozzarella cheese, sliced\"", \""1/4 c. fresh basil leaves\"", \""2 Tbsp. balsamic glaze\"", \""1 Tbsp. olive oil\""]""","""[\""Arrange alternating slices of tomato and mozzarella on a plate.\"", \""Tuck the fresh basil leaves in between the slices.\"", \""Drizzle with olive oil and balsamic glaze right before serving.\""]""",www.example-lunch.com/recipe/8,Generated,"""[\""tomato\"", \""mozzarella cheese\"", \""basil\"", \""balsamic glaze\"", \""olive oil\""]"""
9,Classic Tomato Soup,"""[\""1 (28 oz.) can crushed tomatoes\"", \""1 c. vegetable broth\"", \""1/2 c. heavy cream\"", \""1 tsp. sugar\"", \""salt and pepper to taste\""]""","""[\""In a saucepan, combine crushed tomatoes and vegetable broth. Bring to a simmer over medium heat.\"", \""Reduce heat to low and cook for 10 minutes.\"", \""Stir in heavy cream and sugar. Season with salt and pepper.\"", \""Serve hot, often paired with a grilled cheese sandwich.\""]""",www.example-lunch.com/recipe/9,Generated,"""[\""crushed tomatoes\"", \""vegetable broth\"", \""heavy cream\"", \""sugar\"", \""salt\"", \""pepper\""]"""
10,Chicken Noodle Soup,"""[\""4 c. chicken broth\"", \""1 c. cooked, shredded chicken\"", \""1 c. egg noodles, uncooked\"", \""1/2 c. sliced carrots\"", \""1/2 c. sliced celery\""]""","""[\""In a large pot, bring chicken broth to a boil.\"", \""Add carrots and celery. Cook for 5 minutes.\"", \""Stir in the egg noodles and cook for 6-8 minutes, or until tender.\"", \""Add the cooked chicken and heat through. Season with salt and pepper if needed.\""]""",www.example-lunch.com/recipe/10,Generated,"""[\""chicken broth\"", \""chicken\"", \""egg noodles\"", \""carrots\"", \""celery\""]"""
